episode_length,P09:episode_rewards,value_loss,P01:episode_rewards,epoch_idx,policy_loss,explained_variance,frames,fps,grad_norm,policy_entropy,PMM:episode_rewards,advantage_norm
331.57,11.0,0.012707837098278106,2.9000000000000004,101,-0.0022109778178855777,0.8693441486358643,808000,358,0.40384672314135206,1.2632732427120208,6.17,1.3883970445394516
345.88,11.100000000000009,0.019259749627672136,3.0,102,-0.005039196181578518,0.8030539172887802,816000,358,0.5426429771967016,1.2320580792427063,6.71,1.7053044426441193
360.43,11.100000000000009,0.013835567436181008,3.0,103,-0.0038363101387221834,0.8523396521806716,824000,357,0.4304945031856686,1.2530784153938292,6.99,1.4355357295274735
373.1,13.0,0.016727518178522586,3.0,104,-0.008241260659415274,0.8267112725973129,832000,357,0.4866679272445543,1.221638674736023,7.54,1.575392314195633
371.62,13.100000000000009,0.015510945855639875,3.0,105,-0.005628384873270989,0.8404865539073945,840000,357,0.4851577254042778,1.2056249856948853,7.55,1.5379860812425614
375.64,14.0,0.01603243642952293,3.0,106,-0.004785880330018699,0.8126401311159134,848000,356,0.48804767413846506,1.2094977819919586,8.0,1.5592967772483826
388.04,14.100000000000009,0.016317045288160442,3.0,107,-0.006756737312243786,0.8212543803453446,856000,356,0.4778560313824694,1.2286043608188628,8.22,1.5797206151485443
391.19,15.0,0.01808648547157645,3.0,108,-0.0018524793116375803,0.7982531708478927,864000,355,0.5099515449671168,1.2313944494724274,8.25,1.6645288717746736
400.68,14.100000000000009,0.01669332183431834,3.0,109,-0.004218743475794326,0.8431596720218658,872000,355,0.5137745006301634,1.2105475902557372,8.45,1.5832245701551437
415.31,14.100000000000009,0.01629543848335743,4.0,110,-0.008981654997915029,0.8455946785211563,880000,355,0.5052092876651183,1.1999482309818268,8.9,1.5765383905172348
419.73,14.0,0.016512123325373978,4.0,111,-0.002164412597194314,0.8336658316850662,888000,354,0.49316255344688675,1.21338991522789,8.73,1.5822787415981292
412.4,14.0,0.017007022253237664,4.0,112,-0.005697602413129062,0.8241641503572464,896000,354,0.48841691481877325,1.230664701461792,8.51,1.6097467118501663
409.26,14.0,0.017115705183241518,4.0,113,-0.005411724242730997,0.811893773674965,904000,353,0.4342101925313696,1.2221121883392334,8.44,1.590712490081787
404.53,13.0,0.017399187129922212,4.0,114,-0.003796544103188353,0.8108176130056381,912000,353,0.48747184071805216,1.2259834468364716,8.08,1.622519468665123
410.09,13.0,0.019273023288697004,4.0,115,-0.006900820529554039,0.7894711810350418,920000,353,0.5179755140374397,1.2029776453971863,8.21,1.7004603201150894
421.74,14.0,0.020055613336153327,5.0,116,-0.00046960602106992154,0.7637851315736771,928000,353,0.5161614072046788,1.2219274032115937,8.81,1.7385652005672454
416.95,14.0,0.01760166774969548,4.9,117,-0.007060540989041329,0.7889714604616165,936000,352,0.5386153828972757,1.1967868781089783,8.92,1.6502375847101212
420.54,14.0,0.017515647234395148,5.0,118,-0.004348828692454845,0.806243115067482,944000,352,0.4790065157935261,1.1967710638046265,9.07,1.6244420439004899
431.16,15.0,0.016405447404831647,5.0,119,-0.0037172784411814066,0.7999987101554871,952000,352,0.4551929937197049,1.1760119915008544,9.65,1.5790026366710663
444.29,15.100000000000009,0.01897914397995919,5.0,120,-0.0034574811038328335,0.7722332966327667,960000,352,0.4928225791386213,1.19920755982399,10.29,1.6864927506446838
438.89,15.0,0.0175524272210896,5.0,121,-0.004599890675744973,0.8132088315486908,968000,352,0.5274656882437746,1.2044360387325286,10.1,1.6190147304534912
432.34,15.0,0.015683894236572085,5.0,122,-0.0033552894238528096,0.8139294350147247,976000,351,0.46796907811777905,1.1842974483966828,10.01,1.5453300285339355
434.79,16.0,0.019871725286357105,5.0,123,-0.004984673722065054,0.7504764395952225,984000,351,0.5191396443862397,1.1585705482959747,10.28,1.7448814368247987
433.99,16.0,0.04773892007768154,5.0,124,-0.016174634341732597,0.7263364362716674,992000,351,0.9404047108538002,1.1582708877325059,10.36,2.0645291489362716
430.81,15.100000000000009,0.021659652730450035,4.9,125,-0.009800815859925933,0.7628846347332001,1000000,351,0.6833101859862052,1.1534451270103454,10.0,1.7953695094585418
436.13,16.0,0.022743879007175564,4.9,126,-0.009299195561325177,0.7572743964195251,1008000,350,0.5710445794962695,1.1572257316112518,10.21,1.8618768680095672
448.98,16.0,0.02175909863319248,4.9,127,-0.008688833088381216,0.7652076441049576,1016000,350,0.6439584193660302,1.2016089153289795,10.63,1.793289605975151
461.66,16.10000000000001,0.020662229438312352,6.0,128,-0.004400422285543755,0.7654108440876007,1024000,350,0.545006879741953,1.1935329604148865,10.72,1.7674696522951125
463.9,16.0,0.019837757092900574,6.0,129,-0.004207383802277036,0.7908312219381333,1032000,349,0.5072062692341499,1.178161302804947,10.58,1.732470086812973
473.29,17.0,0.01974044132977724,6.0,130,-0.003637219028041727,0.793240768313408,1040000,349,0.5600451981162382,1.1710363245010376,10.71,1.729303670525551
492.56,18.10000000000001,0.021347614703699946,6.0,131,-0.007208713036088738,0.7643259710073471,1048000,349,0.5689453643229669,1.153871768116951,11.39,1.7998526394367218
489.5,18.0,0.020813843733631075,6.0,132,-0.002423775037168525,0.7799208748340607,1056000,349,0.567549602706562,1.1568167781829835,11.54,1.7717496931552887
496.81,17.10000000000001,0.02055284921079874,6.0,133,-0.007837226969131734,0.7513916176557541,1064000,349,0.5253955763497473,1.1622499275207518,11.5,1.7731951212882995
505.14,18.0,0.022735823597759008,7.0,134,-0.006520097943721339,0.7710297679901124,1072000,349,0.6164506367604031,1.1561855638027192,12.0,1.855259474515915
510.06,18.0,0.019556997530162334,7.0,135,-0.004659894500509836,0.7619883507490158,1080000,348,0.5267336170175444,1.1366716223955153,12.26,1.7229221284389495
514.1,18.0,0.02074031512718648,7.9,136,-0.008907580897284788,0.787547555565834,1088000,348,0.5647338477240675,1.1394801318645478,12.46,1.7712766385078431
