fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
468,0.008044799284543842,0.920604418516159,1.3115973842144013,-0.0005561983201187104,7.0,0.26128761631649555,3.14,64,1.048656468987465,245.84,0.0,512000
468,0.008568594207172282,0.9145828849077224,1.332250747680664,-0.0002754580049077049,7.0,0.2632538647057687,3.05,65,1.0997884517908096,244.63,0.0,520000
469,0.007990033867536113,0.9086714482307434,1.298318862915039,-0.006010893510392634,6.1000000000000085,0.27777414792157734,2.84,66,1.051104279756546,235.04,0.0,528000
469,0.010535915524233132,0.8669937783479691,1.285354232788086,-0.002411466738267336,6.0,0.3293358665779131,2.67,67,1.2028031903505325,226.18,0.0,536000
470,0.008443427513120695,0.8807727056741714,1.2813783395290375,-0.0026371676588314587,5.0,0.2721184961431595,2.35,68,1.1204125148057937,211.26,0.0,544000
470,0.009276970815844833,0.8857751643657684,1.299078563451767,-0.0038085021439474074,7.0,0.28987502650942665,2.58,69,1.1327692663669586,216.06,0.0,552000
471,0.012426853984361514,0.8771690911054612,1.2714728891849518,-0.002970398152974667,5.1000000000000085,0.337699693507779,2.57,70,1.2378265160322188,216.88,0.0,560000
472,0.012520361267961562,0.8719440221786499,1.2893027913570405,-0.001414506605360657,9.0,0.33678114032815043,3.34,71,1.3509223228693008,243.59,0.0,568000
472,0.009287841897457839,0.8890448170900345,1.3176816093921662,0.0003644670489302371,9.0,0.29294653522757846,3.53,72,1.1550362259149551,252.13,0.0,576000
473,0.0098562487505842,0.9126317942142487,1.3060915267467499,-0.0007531384369940497,9.0,0.29224047664738323,3.78,73,1.192352659702301,261.46,0.0,584000
473,0.009877697830088437,0.8991384744644165,1.3074627327919006,-0.0017696834843809483,9.0,0.2800185342286492,3.8,74,1.20539768576622,264.19,0.0,592000
474,0.012220779405906797,0.8508016800880432,1.2465097507834435,-0.005098359214025549,7.1000000000000085,0.3473727768583811,3.61,75,1.2748610863089562,259.36,0.0,600000
474,0.010370444166474044,0.898890101313591,1.2892791032791138,-0.002741326945833862,8.0,0.3065417756699451,3.88,76,1.2339485013484954,267.22,0.0,608000
474,0.010455585619201884,0.8826403313875198,1.2914215433597565,0.000440127071342431,8.0,0.3065590595748275,3.77,77,1.2319256657361983,265.25,0.0,616000
475,0.010425313429441302,0.8873603999614715,1.2938697016239167,-0.0033209272301175474,8.0,0.31421793116392577,3.74,78,1.2216658192873,260.57,0.0,624000
475,0.012787717925384641,0.8634992682933808,1.2880146765708924,0.0016647901364922292,7.0,0.3535677370504437,3.48,79,1.3812225449085236,249.68,0.0,632000
476,0.011880314664449543,0.858880455493927,1.3102270543575287,-0.004949429501139093,9.0,0.3077515101715738,3.98,80,1.3306195002794265,264.34,0.9000000000000004,640000
476,0.01781441690167412,0.8223394870758056,1.2617164400219918,-0.004321550898021087,9.0,0.45924446648103445,4.13,81,1.517468734383583,272.69,1.0,648000
476,0.01077920852578245,0.8622346764802933,1.2821931159496307,-0.002064421792165376,9.100000000000009,0.3148758232587922,4.76,82,1.269014892578125,289.39,1.0,656000
477,0.012888857824727894,0.8738965904712677,1.2708605301380158,-0.0018165604608657304,9.0,0.3534926885785431,4.74,83,1.3854082059860229,295.84,1.0,664000
477,0.010473031061701476,0.8894177252054214,1.2941418123245239,-0.0018303161569565417,10.0,0.31641236618509366,4.95,84,1.2366466510295868,293.51,1.0,672000
478,0.012888524590525776,0.847533044219017,1.2957804715633392,-0.0028182157213450408,10.0,0.3672659614805549,4.83,85,1.3774783968925477,289.49,1.0,680000
478,0.016389899579808118,0.8268059659004211,1.2806403076648711,-0.004013182561320719,10.0,0.39502857837560557,4.86,86,1.564860194325447,290.11,1.0,688000
478,0.012990339659154415,0.7985023427009582,1.2778448557853699,-0.001547943187179044,10.0,0.3620006097371676,5.11,87,1.3791280561685562,301.64,1.0,696000
479,0.015300345721188933,0.8091889280080795,1.2835615956783295,-0.004674057371448726,10.0,0.4262260177059815,4.93,88,1.492602189183235,297.93,1.9000000000000004,704000
479,0.014404378179460765,0.8491215908527374,1.2844307458400726,-0.00017503501192550174,10.0,0.3938067163502572,5.35,89,1.4722190362215042,311.34,2.0,712000
479,0.014875264214351773,0.8280848348140717,1.2644933998584746,-0.005532326836837456,9.100000000000009,0.40069206879284835,5.29,90,1.5037421774864197,316.87,2.0,720000
480,0.014465157380327583,0.8503012555837631,1.268096730709076,-0.0010926085403480102,10.0,0.3811352163482195,5.53,91,1.4608023887872696,311.12,2.0,728000
480,0.013535230157431214,0.8404072433710098,1.2858432054519653,-0.00457218654351891,10.0,0.38812586912465596,5.67,92,1.4290965622663498,316.26,2.0,736000
480,0.01640826802700758,0.816363872885704,1.2639582276344299,-0.004207504300429718,10.0,0.42528473724133165,5.78,93,1.5665940296649934,317.17,2.0,744000
481,0.018422658522613346,0.7147421944141388,1.1009792008250952,-0.007433434855774976,11.0,0.4619521026982811,5.7,94,1.6295032691955567,309.17,2.0,752000
481,0.018709379276260735,0.7940411674976349,1.2427401924133301,-0.0031102381722303107,11.0,0.45239538323472145,5.87,95,1.6645438516139983,314.48,2.0,760000
481,0.015634974157437684,0.8133418864011764,1.260777897834778,-0.002212032712850487,11.100000000000009,0.39042723238789484,6.21,96,1.5455305993556976,325.97,2.0,768000
