frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
680000,-1.7243479681015015,0.001089651669262821,-0.00018012739521509503,0.29437651503831147,184.24,475,0.0,1.48,0.046956109562645246,1.3849871802330016,3.0,85
688000,-1.6686729311943054,0.0006649004519340452,-0.00023521276525571012,0.23589635498821734,182.49,475,0.0,1.36,0.036350669407311395,1.3853888857364653,3.0,86
696000,-4.082517642974853,0.0006961998604492692,7.753137091640383e-05,0.232462190464139,185.32,475,0.0,1.43,0.03528375601473317,1.3846860814094544,3.0,87
704000,-2.119193356633186,0.0007869157946879568,-0.0005340794990479481,0.26478098206222056,188.15,476,0.0,1.46,0.043640196303440265,1.3849781012535096,3.1000000000000085,88
712000,-0.6956782704591751,0.0008461994134904671,0.0003067391202057479,0.2496448741108179,189.98,476,0.0,1.48,0.0412084119939435,1.3849449741840363,3.1000000000000085,89
720000,-0.718255319595337,0.001157497220156074,0.0001871660992037505,0.3190153242647648,180.8,476,0.0,1.27,0.051818407636861005,1.3853488874435425,3.1000000000000085,90
728000,-1.2877854871749879,0.0008227299825466617,-8.970499198767357e-05,0.2504852221161127,179.77,476,0.0,1.36,0.03514410405141282,1.3853578209877013,4.0,91
736000,-2.4656298828125,0.0009045473849982954,0.00016489376852405258,0.25807196103036406,181.96,476,0.0,1.45,0.04191729304312623,1.385128824710846,4.0,92
744000,-2.1468285936117173,0.0008472361818712671,0.00015836860860872547,0.27379856023937466,174.68,477,0.0,1.21,0.04513495467821351,1.3852119064331054,3.0,93
752000,-0.6249080383777619,0.0011971812834144658,6.83222595762345e-05,0.3026700915396214,179.05,477,0.0,1.32,0.04548059987071516,1.3819201171398163,3.0,94
760000,-2.0268484956026076,0.0010059516955425352,-0.0005928806433257705,0.27259881667792796,181.66,477,0.0,1.34,0.042608624744938366,1.3852191650867463,3.0,95
768000,-0.9221674001216889,0.0008684302625260897,0.00012836495185183594,0.25900559857487676,178.64,477,0.0,1.26,0.040692273056791836,1.3855957472324372,3.0,96
776000,-20.506676694750787,0.0012325962061640894,0.0004756492326123407,0.3045742082968354,183.49,478,0.0,1.39,0.04634322011450843,1.385426299571991,4.0,97
784000,-2.975541214346886,0.0006909989322412002,-0.00043374901779316135,0.2487919781729579,184.31,478,0.0,1.42,0.03714985208692889,1.3838544416427612,3.1000000000000085,98
792000,-17.016755593419074,0.0009499521024190472,-6.574567451025359e-05,0.2701431612670422,183.69,478,0.0,1.41,0.04258552965981312,1.3850551283359527,3.0,99
800000,-1.8581796896457672,0.0005341804005092854,0.00016609140686341562,0.2031301200762391,180.41,478,0.0,1.31,0.03013940303589073,1.3852763760089875,3.0,100
808000,-1.8257748883962632,0.0006294050302676624,0.00017676370896879234,0.22382895670831204,177.21,478,0.0,1.23,0.035865839203504,1.3856393206119537,3.0,101
816000,-4.4693409568071365,0.0012549240818680119,-0.00028844407192082146,0.2999203823134303,182.43,478,0.0,1.39,0.04293067735542502,1.3850018048286439,4.0,102
824000,-1.4295935082435607,0.0005396971858681355,0.000143653938339412,0.1831262931600213,181.94,479,0.0,1.35,0.027281212738416754,1.385673623085022,4.1000000000000085,103
832000,-1.9345516872406006,0.0010574789845486522,0.0003033656180559774,0.2858429265767336,181.34,479,0.0,1.4,0.04464073525708809,1.3856575226783752,3.1000000000000085,104
840000,-3.30716027200222,0.001094253219289385,0.00025673056461528176,0.29422450430691244,190.35,479,0.0,1.7,0.0448077345546446,1.3852528309822083,4.0,105
848000,-1.317418904900551,0.0009651089819317349,-0.00039959078014362604,0.2533422338962555,195.6,479,0.0,1.79,0.03654035369411835,1.3855717146396638,4.0,106
856000,-3.6593388187885285,0.0006763341612895602,0.00024610434586065823,0.21642835941165686,183.42,479,0.0,1.39,0.03158004704482559,1.3856543433666229,3.0,107
864000,-1.1673988944292069,0.0004953781829044601,-0.0001703098274902004,0.1957474996522069,178.67,479,0.0,1.28,0.029860707611165136,1.3856969594955444,3.0,108
872000,-0.44380167305469514,0.0010596908305615215,5.8592524474079256e-05,0.29047537080943586,187.75,480,0.0,1.56,0.043002343656058394,1.3853323364257812,4.0,109
880000,-5.715164021849632,0.00034425160977662016,-4.2139910165133186e-05,0.16976056259125472,190.92,480,0.0,1.63,0.025232792447752683,1.385545072555542,4.0,110
888000,-0.685061764717102,0.000529529548894061,0.0001502799068839522,0.20643843807280063,183.67,480,0.0,1.38,0.033313229854269905,1.3857095766067504,3.0,111
896000,-1.0390194737911225,0.0005274142175585439,-0.0001455219165654853,0.2021561072766781,182.3,480,0.0,1.33,0.03317962277655809,1.3855848252773284,3.0,112
904000,-2.094611101150513,0.0006229595086733752,-3.583514066122007e-05,0.2179377385042608,178.52,480,0.0,1.26,0.033941418624014064,1.3858667087554932,3.0,113
912000,-0.9892079854011535,0.00038242328837441165,0.00016859807161381468,0.17212932489812374,177.21,481,0.0,1.25,0.02427801274430792,1.3859440577030182,3.1000000000000085,114
920000,-1.120264293551445,0.0010596677627472673,-7.955329414016888e-05,0.27769391853362324,178.69,481,0.0,1.3,0.04790730137000192,1.3852156460285188,3.0,115
928000,-1.1580449241399764,0.0005131799556966143,-4.731818589789327e-06,0.20146936550736427,184.3,481,0.0,1.43,0.031144611103867344,1.3854986500740052,4.0,116
936000,-12.348599957227707,0.0007738341105141444,-8.218562215915881e-05,0.23246987011283637,183.2,481,0.0,1.38,0.037385225341012115,1.3859228742122651,4.0,117
944000,-1.9441559571027756,0.0007166966860040702,-6.705116538796574e-07,0.239754823371768,180.32,481,0.0,1.34,0.037971767594862926,1.3850199973583222,4.0,118
952000,-2.579650949239731,0.0011595612836026704,0.0007949312005075626,0.3112528733536601,188.57,481,0.0,1.58,0.0446933558414452,1.3848339068889617,4.0,119
