epoch_idx,advantage_norm,PMM:episode_rewards,episode_length,policy_entropy,value_loss,policy_loss,P01:episode_rewards,explained_variance,frames,P09:episode_rewards,grad_norm,fps
70,1.4256399154663086,3.6,257.93,1.31529274225235,0.013748034234158695,-0.0025164256460266186,0.0,0.849333912730217,560000,8.100000000000009,0.39982179875644774,302
71,1.2702161008119583,3.79,263.49,1.312758333683014,0.011099750550929457,-0.005223542984945198,1.0,0.8781903225183487,568000,9.0,0.36068043449882514,303
72,1.1933220571279526,3.56,258.15,1.2986473202705384,0.009726647059433163,-0.002345340125320945,0.9000000000000004,0.8967782962322235,576000,9.0,0.30845906518932,303
73,1.3974942511320114,3.99,275.47,1.3088360714912415,0.013218608337920159,-0.0009589517756830901,0.9000000000000004,0.8669749826192856,584000,9.100000000000009,0.41155776956301887,303
74,1.6325769513845443,4.26,286.17,1.228112417459488,0.018096813256852327,-0.007491199126234278,0.0,0.7759805059432984,592000,9.0,0.4433484287051784,303
75,1.533673859834671,4.12,280.29,1.249952530860901,0.015898372461088002,-0.004625794158564531,0.0,0.7946389156579972,600000,9.0,0.47534000969917456,303
76,1.4761853557825089,4.32,284.99,1.2425921881198883,0.014531205412931741,-0.0036130905838217585,0.0,0.8433375293016434,608000,9.0,0.4087144325493452,303
77,1.3643278855085372,4.17,279.19,1.2470203137397766,0.012571654364001006,-0.004848597429081565,0.0,0.8660593730211258,616000,9.0,0.4301816509461694,304
78,1.7338775247335434,4.49,290.54,1.2313486456871032,0.019879135484807194,-0.00594547587854322,0.9000000000000004,0.7836457228660584,624000,9.0,0.502136786326636,304
79,1.6942348444461823,5.48,325.82,1.2042263281345367,0.018846472003497185,-0.0035243597876979038,1.0,0.786138311624527,632000,9.100000000000009,0.47702204123341096,304
80,1.3839861238002777,5.48,326.12,1.2741801643371582,0.013151873587630689,-0.0015799713123124093,1.9000000000000004,0.8798455125093461,640000,10.0,0.3799447502966586,304
81,1.506132833957672,6.06,343.17,1.2834197461605072,0.01515229227952659,-0.0037254856806248427,2.0,0.8420646607875824,648000,11.0,0.41317940365059974,305
82,1.4087994360923768,5.83,333.85,1.2738648879528045,0.013350273501127958,-0.001430609742019442,1.9000000000000004,0.8768914353847503,656000,11.0,0.3964279834554887,305
83,1.5150900971889496,5.72,330.22,1.2779727244377137,0.015461158966645598,-0.007199191304680426,1.0,0.8651929891109467,664000,11.0,0.44350087170308483,305
84,1.4805432879924774,5.78,329.67,1.2701103937625886,0.0145512036094442,-0.004086452188203111,1.0,0.862087129354477,672000,11.0,0.44951087483028246,305
85,1.547313832640648,5.51,327.33,1.2692668306827546,0.015892477114684878,-0.003200407771510072,1.0,0.826320863366127,680000,10.0,0.42801882781666944,305
86,1.4733009725809096,5.38,325.64,1.2966407680511474,0.014409557632170618,-0.0014523424860090018,2.0,0.8479239946603775,688000,10.0,0.39920497111305364,305
87,1.3124460619688034,5.08,319.12,1.300127660036087,0.01164396001258865,-0.00219137432941352,1.0,0.8504968029260636,696000,10.0,0.3444153484234682,305
88,1.513998292684555,4.51,301.75,1.2747232723236084,0.015117911719717086,-0.004019564495683881,1.0,0.8495724707841873,704000,8.100000000000009,0.40619209197893247,306
89,1.6194545847177506,4.66,307.24,1.2548858726024628,0.017779699959792197,-0.008700478734390345,1.0,0.8284224265813828,712000,9.0,0.49243580932029546,306
90,1.647893561720848,5.16,323.04,1.246314866542816,0.018000748748891057,-0.003944161387626082,1.0,0.808273246884346,720000,9.0,0.47451371314458307,306
91,1.6825656062364578,5.59,334.9,1.2444227588176728,0.018475293996743858,-0.004164141439832747,1.9000000000000004,0.7990621638298034,728000,9.100000000000009,0.4644545259947236,306
92,1.724659567475319,6.43,361.05,1.2601963794231414,0.019529106917325408,-0.004469317434413824,2.0,0.7885103821754456,736000,11.0,0.49243079667654505,306
93,1.5571314483880996,6.39,361.53,1.2785814893245697,0.016436397058423608,-0.0035515044478233904,1.9000000000000004,0.8119281446933746,744000,11.0,0.4264684654384029,306
94,1.6049470901489258,6.97,376.54,1.254823706150055,0.01710081176366657,-0.0024205073702614753,2.0,0.8290774208307267,752000,12.0,0.47191501839610195,306
95,1.578315673470497,6.85,373.78,1.2510865116119385,0.01660893238382414,-0.0034646532055921855,2.0,0.8063225001096725,760000,12.0,0.43777754785447437,306
