episode_length,policy_loss,advantage_norm,epoch_idx,explained_variance,frames,PMM:episode_rewards,P01:episode_rewards,fps,policy_entropy,grad_norm,P09:episode_rewards,value_loss
217.7,-0.00110459170955437,0.6861366651952266,60,0.9661233985424041,480000,2.5,0.0,469,1.3510171854496003,0.1659168188224135,9.0,0.0036931949338759296
232.29,0.00023661209947022142,0.7955992606282234,61,0.9341915667057037,488000,2.96,0.0,469,1.3695240890979767,0.18281988848167113,9.0,0.005121372031862847
211.93,-0.00029960165804368446,0.5498080119490624,62,0.9770192641019821,496000,2.22,0.0,470,1.3681309866905211,0.1252663089579267,5.1000000000000085,0.002420522377215093
203.24,-0.0012171869323356077,0.6756507590413093,63,0.9349595940113068,504000,1.93,0.0,470,1.3583898377418517,0.16484979506305086,5.0,0.0036178529309108852
199.12,-0.0010059093160089106,0.7654794155061245,64,0.9450595599412918,512000,1.83,0.0,471,1.3551048052310943,0.18407241584439546,5.0,0.004693733964231796
199.17,-0.0004655404731602175,0.7390589958429337,65,0.9572216606140137,520000,1.95,0.0,472,1.3537569653987884,0.17768515855478093,6.0,0.004190036331128795
212.6,0.00026762280554976315,0.8120737873017788,66,0.9467728614807129,528000,2.32,0.0,473,1.3678929960727693,0.19005967967601642,7.1000000000000085,0.005003234643663745
206.92,-0.0009111032430519117,0.9115148440003396,67,0.9218028390407562,536000,2.15,0.0,474,1.376441433429718,0.22627395269513667,6.1000000000000085,0.006712298360071145
204.42,-0.0015085477381944657,0.7866216447949409,68,0.9542840659618378,544000,2.08,0.0,474,1.3532665479183197,0.19758721383687802,5.0,0.004903599753743037
213.11,-0.0005957937042694539,0.7498193982243538,69,0.9621492087841034,552000,2.22,0.0,475,1.3541764855384826,0.18771982654078875,5.0,0.004233725476660765
226.64,-0.0012003343281685374,0.6624906432628631,70,0.9673612660169602,560000,2.64,0.0,476,1.3548368418216705,0.14724393772222305,7.200000000000017,0.00331341398996301
227.01,-0.0016100527878006687,0.8335875698924065,71,0.9528431856632232,568000,2.68,0.0,477,1.3536182689666747,0.2179110643474976,9.0,0.005438418036210351
235.41,-0.0009157215966843069,0.8205453102290631,72,0.9428739279508591,576000,2.91,0.0,477,1.3532670474052428,0.18205638792470757,9.0,0.005153295017662458
237.05,-0.00018268485811859136,0.705894233584404,73,0.9650126659870147,584000,2.91,0.0,478,1.3550209617614746,0.17303483635050515,9.0,0.0037099792860681192
217.9,-0.001153425223164959,0.9695145285129547,74,0.919366621375084,592000,2.32,0.0,479,1.3692292499542236,0.23904144302845334,5.1000000000000085,0.006913922972744331
226.48,-8.367231814190745e-05,1.045988000333309,75,0.9049758499860764,600000,2.62,0.0,479,1.3602553796768189,0.2516970529209887,9.0,0.008264136200305075
212.88,-0.0009996605882770383,1.1767509111762047,76,0.8571129751205444,608000,2.33,0.0,480,1.3626669538021088,0.28231788880831876,6.1000000000000085,0.009640003712847829
219.49,-0.0007797977831251046,1.0862567514181136,77,0.9193873584270478,616000,2.5,0.0,480,1.3567566990852356,0.26156196407235494,7.0,0.008170937846880406
211.36,-0.0006985452593289665,1.0995783638954162,78,0.8924742871522904,624000,2.29,0.0,481,1.3540161526203156,0.2743896848797379,5.1000000000000085,0.008953195689537096
219.21,-0.0007652275120199192,1.0036690324544906,79,0.9124948316812516,632000,2.41,0.0,481,1.3543450462818145,0.24165598336740454,6.1000000000000085,0.007339197171968408
225.36,-0.0025754681367834566,1.0513040444254875,80,0.8916069799661637,640000,2.59,0.0,481,1.3504496908187866,0.2746589452645495,7.0,0.007861680053174495
234.67,-0.001792299956723582,1.0722574681043624,81,0.9171084803342819,648000,2.83,0.0,482,1.338244627714157,0.262341448563661,7.0,0.00828999069519341
244.1,-0.002474369669216685,1.041889033615589,82,0.9229887753725052,656000,3.19,0.0,483,1.3264558601379395,0.26122951487641766,9.0,0.007501523260725662
239.64,0.0008036733034532518,0.9973134353756905,83,0.9092991542816162,664000,3.12,0.0,483,1.337602276802063,0.23627205292439465,9.0,0.007253471108851954
243.97,-0.0019196604494936763,1.2643318673968316,84,0.8849261581897736,672000,3.2,0.0,483,1.3397725474834443,0.31570254790906993,9.0,0.011297603559214622
222.08,-0.0008905942950514145,1.0039745092391967,85,0.9129015225172042,680000,2.42,0.0,484,1.3476877570152284,0.23493256994732217,6.0,0.007318988383631222
215.59,-0.00015150008664932102,1.0550062453746796,86,0.9069692254066467,688000,2.27,0.0,484,1.353145878314972,0.2525565900380348,5.0,0.008060805759159849
232.47,-0.002638787033029075,1.2288689142465592,87,0.8703904575109482,696000,2.77,0.0,485,1.3504423558712007,0.2883508235270353,5.1000000000000085,0.010524026599014177
236.21,-0.00121523020654422,0.8502386465668679,88,0.9387975746393203,704000,2.82,0.0,485,1.3458059203624726,0.20796982709294545,5.1000000000000085,0.0055540566192939875
234.07,-0.0036643897956673754,1.0158734571933747,89,0.9193004620075226,712000,2.79,0.0,485,1.3433101713657378,0.24719166445709828,6.0,0.008222852910403162
234.53,-0.0006109512504190207,1.0591042891144753,90,0.9295427215099334,720000,2.85,0.0,486,1.3381937921047211,0.2548451599127826,8.0,0.007980401339009404
246.28,-0.0018856511788908391,1.1273044845461846,91,0.9169345253705978,728000,3.22,0.0,486,1.336860191822052,0.2761199700742182,9.0,0.008750335077056661
260.73,-0.002428899399819784,1.2727085843682289,92,0.8787848317623138,736000,3.63,0.0,486,1.312485089302063,0.3073323318049328,9.0,0.011888483049115167
268.43,0.0002677796015632339,1.0965897515416145,93,0.9153276771306992,744000,3.92,0.0,487,1.3215664398670197,0.2637101181739662,9.0,0.008793087729718535
270.82,-0.0024946183006977663,1.265614310503006,94,0.8867498540878296,752000,3.95,0.0,487,1.3288126635551452,0.32977322685866867,9.100000000000009,0.011215564407175407
262.42,-0.001390006575093139,1.2195711877942086,95,0.8823250472545624,760000,3.75,0.0,487,1.3111794555187226,0.30786950441874616,10.100000000000009,0.01039400623878464
252.13,-0.0017621560048064566,1.2721249401569366,96,0.8799192625284195,768000,3.31,0.9000000000000004,488,1.328318440914154,0.3136820241707957,7.0,0.011159530256409199
255.43,-0.0010828083660453557,1.2499093198776245,97,0.8998639065027237,776000,3.39,0.9000000000000004,488,1.32479989528656,0.28820057418786904,8.100000000000009,0.010901029907399789
267.84,-0.003545686487632338,1.3130840492248534,98,0.8814485257863999,784000,3.79,1.0,488,1.3324887645244599,0.3364833878245193,10.0,0.011818198648979887
272.52,-0.0005299663217738271,1.0902699249982835,99,0.926850419640541,792000,3.94,1.0,488,1.3344115614891052,0.2768407756997171,10.0,0.00830215829075314
274.18,-0.0016377706784987823,1.3643852669000625,100,0.8615839332342148,800000,4.05,1.0,488,1.314227694272995,0.34102623793565795,10.0,0.012684893251862377
273.41,-0.000841163452132605,1.2423766601085662,101,0.9014124655723572,808000,4.04,1.0,488,1.3223189842700958,0.3044073515338032,10.0,0.010642480128444732
282.36,-0.0011592444193229312,1.2094056418538093,102,0.8973012524843216,816000,4.28,1.0,489,1.3156077229976655,0.2909031125622684,10.0,0.010347547624260187
292.19,-0.008572688593994826,1.4305137079954147,103,0.8582675415277481,824000,4.53,0.9000000000000004,489,1.30023894906044,0.39039409637154415,10.0,0.014088615425862372
294.34,-0.003282014796277508,1.3779846954345703,104,0.8729698413610458,832000,4.53,1.0,489,1.3033589255809783,0.35788232201668135,10.0,0.012711621136404574
300.96,-0.0025317473674658685,1.2443294680118562,105,0.8903722167015076,840000,4.68,1.0,489,1.317828550338745,0.29683200867000525,10.0,0.010576650211587548
310.91,-0.0012230809854372638,1.3463919103145598,106,0.8631412386894226,848000,5.11,0.0,490,1.3098350811004638,0.3313818205762727,11.0,0.012465641769813374
313.42,-0.002873096528928727,1.3079524099826814,107,0.8774410456418991,856000,5.12,0.0,490,1.3076954638957978,0.33455435704299225,11.0,0.011792113047558814
296.37,-0.0005072408792329952,1.3070102733373643,108,0.877168869972229,864000,4.83,0.0,490,1.3044966650009155,0.3316593564053458,12.0,0.011558934841305017
291.46,-0.0027125399315264076,1.2893297535181045,109,0.8832639342546463,872000,4.56,0.0,491,1.2861658596992493,0.33594368849723144,10.100000000000009,0.011615613385802135
294.88,-0.005903901992132888,1.5408905863761901,110,0.8489653164148331,880000,4.66,0.9000000000000004,491,1.249130527973175,0.4057235492222609,10.0,0.016088863427285105
309.16,-0.003971170993754641,1.5734128803014755,111,0.7969287002086639,888000,5.18,1.0,491,1.2656351709365845,0.3837176783851957,11.0,0.016863523935899138
316.37,-0.002983804153263918,1.376933096051216,112,0.8638604372739792,896000,5.34,0.0,491,1.294160885810852,0.34010234519796556,11.0,0.012866837386973203
335.14,-0.006768723185523413,1.630221506357193,113,0.7824900537729264,904000,5.81,0.0,492,1.276266347169876,0.4332486085621406,11.0,0.020203503607772292
337.0,-0.004709995540324598,1.4976242864131928,114,0.8454073339700698,912000,5.9,0.0,492,1.262057284116745,0.39225664890433776,11.0,0.015126793845556676
332.07,-0.005078322888912226,1.6614633810520172,115,0.8050103974342346,920000,5.78,0.0,492,1.2373126780986785,0.48843895650876445,11.0,0.01862237972673029
341.61,-0.0037482820893637836,1.4153686267137529,116,0.8693011897802353,928000,6.04,1.9000000000000004,493,1.2498120296001434,0.3584609158873458,11.0,0.01344049806939438
346.77,-0.005603131551470142,1.3930241006612778,117,0.870454176068306,936000,6.32,2.0,493,1.2826024138927459,0.3603039840699166,12.0,0.013186944948974997
353.98,-0.003593256989697693,1.4678428852558136,118,0.8355304235219956,944000,6.49,2.0,493,1.2544844603538514,0.37808106429411625,12.0,0.014304971038363874
354.04,-0.005370708794216626,1.5516728556156159,119,0.8439260905981064,952000,6.5,2.0,493,1.216201992034912,0.39851958547236394,13.0,0.01632497144397348
354.86,-0.005474057311948855,1.524964281320572,120,0.8457359659671784,960000,6.42,1.9000000000000004,494,1.232130309343338,0.39567795140601325,13.0,0.015603468981571495
362.55,-0.0028920197708066555,1.5753917521238328,121,0.8154415708780288,968000,6.7,1.8000000000000007,494,1.2165315449237823,0.3979194810278605,13.0,0.01652304914779961
359.24,-0.001972882607014981,1.4354647743701934,122,0.8595379722118378,976000,6.51,0.0,494,1.246442792415619,0.3533889066422647,13.0,0.013764073993079363
352.52,-0.004504318746185163,1.4681494534015656,123,0.858751545548439,984000,6.37,0.0,494,1.225106439590454,0.38158011437311756,13.0,0.014282982307486236
353.98,-0.0031689556927267403,1.596272863149643,124,0.8352365398406982,992000,6.34,0.0,494,1.2645433151721954,0.3959951315932439,12.0,0.016882170918397606
359.03,-0.00350760304601863,1.6815422850847244,125,0.804769646525383,1000000,6.58,0.0,495,1.2311220610141753,0.41977654829945055,13.0,0.018767592064104974
360.2,-0.00330871605896391,1.5494760251045228,126,0.827854276895523,1008000,6.73,0.0,495,1.2140311861038209,0.4167172512355953,13.0,0.015936500406824053
368.44,7.851966976886615e-05,1.4669269567728043,127,0.8527541780471801,1016000,7.0,0.0,495,1.2549999833106995,0.3826199434681346,13.0,0.01439158159075305
372.84,-0.005932739875279367,1.5148487710952758,128,0.8568937194347381,1024000,7.12,0.9000000000000004,495,1.2382107186317444,0.4150220527444678,13.0,0.015329649660270662
390.62,0.00029926669376436623,1.7262030833959578,129,0.7817682790756225,1032000,7.73,2.0,496,1.2225180065631867,0.47712562068080755,13.0,0.01974504655227065
393.54,-0.007724382434971631,1.5981283617019653,130,0.8135787755250931,1040000,7.48,0.0,496,1.2481621706485748,0.5020885803487335,13.0,0.01797798399813473
389.3,-0.004627603633562103,1.5094641262292863,131,0.8408604729175567,1048000,7.26,0.0,496,1.2236956107616423,0.3913810239825125,12.0,0.015255547736305743
402.92,-0.0076906601690279785,1.690674443244934,132,0.8143883103132248,1056000,7.67,0.0,496,1.1933081710338593,0.4522937086481684,13.100000000000009,0.0188250750862062
411.0,-0.0046191463949799075,1.471880487203598,133,0.8550993710756302,1064000,7.85,0.0,496,1.234710794687271,0.3748764477948345,13.100000000000009,0.014245695632416755
371.28,-0.0028016297781141477,1.332715818285942,134,0.8785555803775787,1072000,6.69,0.0,496,1.2445561408996582,0.3316162926501934,12.0,0.012016606354154646
381.92,-0.001004180785967037,1.4001266705989837,135,0.8616150677204132,1080000,7.14,0.0,497,1.252234218120575,0.3423738308998087,13.100000000000009,0.013313104475382715
386.96,-0.00508528677502909,1.609584771990776,136,0.8282208746671677,1088000,7.31,0.0,497,1.2136816960573196,0.439920153644735,13.0,0.017373921484686434
380.39,-0.007023653141222894,1.6725748950242996,137,0.8033934652805328,1096000,7.05,0.0,497,1.1982981979846954,0.440579559248429,12.100000000000009,0.018695586347021162
385.5,-0.0033807222347240896,1.7081698268651961,138,0.8130344587564469,1104000,7.32,0.9000000000000004,497,1.1764600694179534,0.470989885186746,13.0,0.01942617027554661
383.93,-0.010265211456226098,1.5851817101240158,139,0.7259086507558823,1112000,7.32,1.9000000000000004,497,1.1481362503767014,0.49779495786603584,13.0,0.017202472328208387
380.92,-0.0025347155256895348,1.7252153116464615,140,0.798647825717926,1120000,7.09,0.9000000000000004,497,1.1462628865242004,0.4815963749259696,13.0,0.019540772694163024
399.8,-0.00468140902579762,1.7101139914989472,141,0.8049467623233795,1128000,7.59,2.0,498,1.2081525802612305,0.4397838035360841,13.0,0.01957520367577672
387.5,-0.0016269438122981227,1.5287615847587586,142,0.8586501628160477,1136000,7.38,0.0,498,1.2583739411830903,0.37832760556742334,13.0,0.015733427740633486
381.34,-0.006749315817141905,1.645269570350647,143,0.8368679422140122,1144000,7.36,0.0,498,1.1744237041473389,0.43899894265611644,13.0,0.01794421541970223
424.01,-0.005101941535249352,1.6540967857837676,144,0.8045460963249207,1152000,8.75,2.0,498,1.185829097032547,0.4177443978515556,14.100000000000009,0.017950662109069527
424.89,-0.004092714320868254,1.4835409861803055,145,0.849833812713623,1160000,8.97,0.9000000000000004,498,1.236851123571396,0.40318415411475156,15.100000000000009,0.014935372478794307
406.81,-0.002927907606353983,1.5235794514417649,146,0.8446477824449539,1168000,8.41,0.0,498,1.2467009770870208,0.39761751925100536,15.0,0.015621144194155931
421.08,-0.0043600203929236156,1.644416442513466,147,0.8218206167221069,1176000,9.17,0.0,498,1.2033927607536317,0.424688242619951,16.0,0.01827035811031237
435.76,-0.004040245960641187,1.55348923265934,148,0.8261909371614456,1184000,9.33,0.0,498,1.2153545069694518,0.41098010761747533,16.0,0.015939106522127985
416.34,-0.0040814530698116865,1.5571454054117202,149,0.8619782793521881,1192000,8.69,0.0,499,1.237864089012146,0.41551473394075444,16.0,0.01638073593378067
419.04,-0.005570111717388499,1.4947436934709548,150,0.8573226231336594,1200000,8.57,0.0,499,1.2196467351913451,0.4088536965307966,14.100000000000009,0.014737445716746152
425.25,0.00016583402291871606,1.5856662184000014,151,0.8414623486995697,1208000,8.66,0.0,499,1.2478051614761352,0.4046530993135192,14.100000000000009,0.016743511743843555
438.74,-0.005204885900748195,1.62725703060627,152,0.8283486831188202,1216000,9.19,1.8000000000000007,499,1.2285535776615142,0.41151960718183583,16.0,0.01749844188336283
417.96,-0.004243202654761262,1.5310223335027695,153,0.8648002827167511,1224000,8.33,0.9000000000000004,499,1.2341310155391694,0.40074827783767325,14.0,0.015680191963911058
404.81,-0.0031361993693280964,1.5002062106132508,154,0.8606642055511474,1232000,8.13,0.0,499,1.2471833729743957,0.3855277981055872,14.0,0.015022069818805904
402.1,-0.0027072836345178077,1.4405771166086196,155,0.8629368281364441,1240000,8.17,0.0,499,1.2490669071674347,0.35567798764865743,14.0,0.013509339087177068
397.12,-0.0023423369036754595,1.5637246465682983,156,0.8143552821874619,1248000,8.08,0.9000000000000004,500,1.2426457607746124,0.3971782864378205,15.0,0.016165068922564387
392.53,-0.00432266085234005,1.672006306052208,157,0.8093352907896042,1256000,7.7,0.0,500,1.15467551112175,0.4667151347791163,14.100000000000009,0.01843593458645046
415.54,-0.005817335649626329,1.511246292591095,158,0.8545666843652725,1264000,8.3,0.9000000000000004,500,1.2149508392810822,0.3936270107616781,15.0,0.015198152433149516
413.11,-0.0029475165689655113,1.37693117082119,159,0.8915072178840637,1272000,8.21,0.0,500,1.2212232112884522,0.35147068781720064,15.0,0.012501359793823212
407.69,-0.0033283380657667294,1.543208601474762,160,0.8523571789264679,1280000,8.27,0.0,500,1.1916195476055145,0.41231225125876153,15.0,0.015743583105504513
403.52,0.0020324044418521224,1.676587272286415,161,0.8016933882236481,1288000,8.06,0.0,500,1.2477368986606598,0.46706121730171085,14.100000000000009,0.018665114101022482
393.19,-0.006317627348471433,1.6535534524917603,162,0.8207482546567917,1296000,7.82,0.0,500,1.2767018246650697,0.4198828188710359,14.100000000000009,0.018354582027532162
391.82,-0.0037304093908460344,1.440731274485588,163,0.8760658675432205,1304000,7.7,0.0,500,1.2313811767101288,0.370308444974615,14.0,0.013804665794596075
406.63,-0.0009061683161417023,1.3982180523872376,164,0.8653244894742965,1312000,8.25,0.0,501,1.2426659965515137,0.3469508671272091,14.0,0.013228594150859863
407.31,-0.006451289939286653,1.5268968099355698,165,0.8426929152011872,1320000,7.99,0.0,501,1.1943554675579071,0.40412836628734716,14.0,0.015769231303129346
427.57,-0.00325972962542437,1.6629625576734544,166,0.8018070942163468,1328000,8.76,0.0,501,1.2097685766220092,0.41878162201777513,15.0,0.018184999423101544
437.27,-0.002870648850221187,1.687115852832794,167,0.7799877500534058,1336000,9.17,0.0,501,1.194569993019104,0.42644691890092434,16.0,0.01917947658337653
461.12,-0.002480161974672228,1.6769262611865998,168,0.8048687565326691,1344000,9.85,0.9000000000000004,501,1.2378332555294036,0.4419678922938951,16.0,0.018430001102387905
448.59,-0.009631813155720011,1.5801591408252715,169,0.8439082598686218,1352000,9.5,1.0,501,1.2314781832695008,0.42045017824372166,17.0,0.01704655481968075
449.97,-0.0017455932087614202,1.580204022526741,170,0.8426289802789688,1360000,9.49,1.0,501,1.22591548204422,0.4160153248435703,17.0,0.016805457689333708
457.46,-0.00621412414999213,1.778365176320076,171,0.7744189077615737,1368000,9.68,1.9000000000000004,501,1.1911338663101196,0.49946060018258587,17.10000000000001,0.021379892420955
