episode_length,policy_entropy,grad_norm,explained_variance,P01:episode_rewards,policy_loss,frames,fps,PMM:episode_rewards,epoch_idx,advantage_norm,value_loss,P09:episode_rewards
309.61,1.2911667037010193,0.35143010899089705,0.8519350606203079,1.0,0.000533993894350715,728000,487,5.1,91,1.397653538584709,0.013260062022600322,10.100000000000009
315.45,1.2912711632251739,0.37124308064680356,0.8723015570640564,1.0,-0.0025421928614377974,736000,487,5.35,92,1.3619261747598648,0.012610380155965686,11.0
320.5,1.2590464818477631,0.36550211598407123,0.861615155339241,1.0,-0.0027978129661642014,744000,488,5.48,93,1.389490824341774,0.013164265574887394,11.0
326.77,1.2584689140319825,0.3741173719732842,0.8668499547243118,0.9000000000000004,-0.006349157631630078,752000,488,5.76,94,1.3838900184631349,0.012957924141082912,11.0
335.78,1.2609716403484343,0.3665718452712872,0.8639994162321091,0.0,0.0002839141842559911,760000,488,6.03,95,1.430771422982216,0.013487066992092877,11.0
330.45,1.3043579840660096,0.3512170115805886,0.8702000826597214,0.0,-0.0030494735878892243,768000,489,5.94,96,1.2695953005552292,0.010976700910832733,11.0
323.5,1.2817149591445922,0.39406768206424764,0.8482304245233536,0.0,-0.003098841512983199,776000,489,5.72,97,1.4749387145042419,0.014913248298689723,11.0
314.82,1.2391169205307961,0.4035617735297749,0.7900298964977265,0.0,-0.002289648857258726,784000,489,5.2,98,1.545607859492302,0.01592701195506379,11.0
325.51,1.2637628412246704,0.4366386365323891,0.8100193589925766,1.0,-0.005955503945224336,792000,489,5.5,99,1.5706592655181886,0.016259911973029374,11.0
336.14,1.2415893292427063,0.41802796729970765,0.8078190743923187,0.9000000000000004,-0.0005492213444085791,800000,489,5.82,100,1.5667782598733901,0.01650595973711461,11.100000000000009
355.03,1.254698783159256,0.40977616346916074,0.8190187466144562,0.9000000000000004,-0.005036326738045318,808000,489,6.42,101,1.5615130788087845,0.016388035370036958,12.0
