epoch_idx,frames,P01:episode_rewards,policy_entropy,PMM:episode_rewards,episode_length,advantage_norm,fps,value_loss,P09:episode_rewards,explained_variance,policy_loss,grad_norm
150,1200000,8.9,1.1388301676511765,16.31,595.98,1.872107012271881,588,0.023251966973766684,26.0,0.7494831049442291,-0.006830601700348779,0.6935039444431916
151,1208000,8.9,1.1047124195098876,16.71,612.93,1.9587647724151611,588,0.025795959499664605,26.0,0.7289269262552261,-0.005209035683074035,0.9267477338441575
152,1216000,9.0,1.1275274753570557,16.84,615.42,2.1524127423763275,589,0.03128782141022384,26.10000000000001,0.708146413564682,-0.014324843141366728,0.9316543141118969
153,1224000,9.0,1.160049191713333,16.32,607.8,2.026270380020142,589,0.026834017443470658,25.10000000000001,0.7211691385507584,0.0004615107816789532,0.7879129183282023
154,1232000,10.0,1.1295850270986556,16.66,617.45,2.1720896482467653,589,0.03153116061352193,25.10000000000001,0.6867273110151291,-0.008566628572298214,0.8539763570003648
155,1240000,10.0,1.1406412678956985,16.78,623.04,2.3200144743919373,589,0.03567656604573131,25.200000000000017,0.660351043343544,-0.012764526983446559,0.9579324231831172
156,1248000,10.9,1.1225769913196564,17.54,640.66,2.0010139715671538,589,0.026173006603494288,27.0,0.7181986379623413,-0.006988678972702473,0.6996028489306597
157,1256000,10.0,1.1323514926433562,17.47,633.84,2.096116137504578,589,0.029848554274067282,25.0,0.7168629854917526,-0.00844065077501,0.7755507617899317
158,1264000,10.9,1.1130837535858153,17.89,646.52,2.0877997970581053,590,0.02874887939542532,25.200000000000017,0.7026772338151932,-0.006898493215667259,0.6766519690106739
159,1272000,10.9,1.099241380095482,18.31,657.03,2.0547727584838866,590,0.028452456113882363,27.0,0.7196375453472137,-0.013018222420942038,0.7567309386136339
160,1280000,10.0,1.0637567508220673,18.33,653.43,2.1074718606472014,590,0.029369023386389016,27.0,0.7144168722629547,-0.007362067067588214,1.0965967765715092
161,1288000,11.0,1.0231569677591323,19.12,670.59,2.2465689289569855,590,0.03326816840097308,27.0,0.6613219058513642,-0.008044291168389464,1.0318162954801096
162,1296000,10.9,1.0925560349225998,19.51,673.34,2.2020585203170775,590,0.03228573080152273,28.0,0.6756820690631866,-0.01214031194744166,0.847787035832132
163,1304000,10.0,1.1221001029014588,19.7,681.6,2.1239568519592287,591,0.03041413681115955,28.0,0.6709956580400467,-0.00995530649088323,0.9366192637658278
164,1312000,10.0,1.1209970033168792,19.64,682.09,1.9693862384557723,591,0.025708323535509406,28.0,0.7072138285636902,-0.012142296631354839,0.6842567068601285
165,1320000,10.0,1.0863266468048096,20.15,702.02,2.164652419090271,591,0.03076812891755253,28.200000000000017,0.7019498610496521,-0.007336637701373547,0.855904818304939
166,1328000,10.0,1.0517349165678025,20.23,703.99,2.1845772993564605,591,0.03220988223329187,28.10000000000001,0.7141709291934967,-0.008694413233606611,0.7719306481818927
167,1336000,10.0,1.1028127962350844,20.2,698.15,2.1016668272018433,591,0.029513102509081363,28.10000000000001,0.6946433198451996,-0.00785567787650507,0.8295668032446234
168,1344000,10.0,1.1099591821432113,20.39,701.53,2.0563408088684083,592,0.028444127156399192,28.10000000000001,0.7308952206373215,-0.010561751540517434,0.6697601870506839
169,1352000,10.0,1.1383714205026627,20.54,702.88,2.1484259831905366,592,0.030605277745053172,29.0,0.6885298186540604,-0.006720281018351671,0.789458374993268
170,1360000,10.0,1.046186519265175,20.6,709.08,2.2691995215415957,592,0.035431184377521276,29.0,0.6720283555984498,-0.017972750153858214,0.9016516350447682
171,1368000,10.0,1.1037143617868423,20.31,706.42,1.9723437416553498,592,0.025926497001200914,29.0,0.7112296909093857,-0.0055906574506661855,0.6622222189724107
172,1376000,11.0,1.134596701860428,20.21,698.99,2.1098368549346924,592,0.029672237937338652,28.10000000000001,0.7263012784719467,-0.009212119383992103,0.7515517722269144
