epoch_idx,grad_norm,avg_q_selected,advantage_norm,PMM:episode_rewards,P01:episode_rewards,explained_variance,q_loss,policy_loss,policy_gradient_loss,avg_q_retraced,fps,rollout_prob_std,episode_length,model_prob_std,policy_gradient_bias_correction,frames,policy_entropy,P09:episode_rewards
11,0.0022199185960676765,-0.005560882265369097,0.028013710274050634,0.0,0.0,-12.107369550069173,1.9355986705704708e-05,0.0001167015564533358,0.0001167015564533358,-0.005556187297527989,357,0.007780285645276308,3324.4166666666665,0.007780285629754265,0.0,79200,2.194734001159668,0.0
12,0.0010773235835733698,-0.004409280760834615,0.011664859189962348,0.0,0.0,-13.94074985186259,4.284024083744953e-06,0.0001383626099899023,0.0001383626099899023,-0.004354791964093844,362,0.006992482300847769,3324.375,0.006992482393980026,0.0,86400,2.195187489191691,0.0
13,0.0019181565311321514,0.00255154212936759,0.012560352062185606,0.0,0.0,-11.237238963445028,6.1707294814065485e-06,-1.8758190950999657e-05,-1.8758190950999657e-05,0.0025564994507779677,368,0.021533936603615682,3324.375,0.021533936370785038,0.0,93600,2.1757176717122397,0.0
14,0.001063151458616363,-0.0013538155239075423,0.010777946313222249,0.0,0.0,-12.512616125742595,4.037066135727703e-06,-5.4294673949092005e-06,-5.4294673949092005e-06,-0.0013740765939777096,372,0.011742137481148045,3324.375,0.01174213751219213,0.0,100800,2.1893107016881306,0.0
15,0.001876783907962313,-0.003465593435491125,0.025758690542231004,0.0,0.0,-12.96070655186971,1.4876115983497584e-05,7.607755945476432e-05,7.607755945476432e-05,-0.003413315761523942,376,0.008911464580645163,3324.375,0.008911464409902693,0.0,108000,2.193994983037313,0.0
16,0.0009472118840077725,-0.0025855858422194917,0.0120835243879507,0.0,0.0,-9.156490262349447,4.723026396883748e-06,5.255148344076588e-05,5.255148344076588e-05,-0.0025659463756407303,380,0.008823949502160151,3324.375,0.008823949346939723,0.0,115200,2.194036285082499,0.0
17,0.001874731632306826,-0.0030095211691924116,0.022846579128776544,0.0,0.0,-12.187702458366042,1.2670913464507832e-05,0.00010781160877964824,9.581342837770809e-05,-0.00288403945617964,380,0.01567623032038913,3324.277777777778,0.010032718438278172,1.1998180412695274e-05,122400,2.1929819587771857,0.0
18,0.0010042215197005665,-0.001333264009004596,0.012392544518280332,0.0,0.0,-4.568669595406169,4.00355722693994e-06,4.659821770958152e-05,3.6623664303206056e-05,-0.0012987138348260138,374,0.026814714447347565,3324.277777777778,0.00971784692185576,9.9745534894413e-06,129600,2.193024077547921,0.0
19,0.001031729848123573,0.00017122206067373525,0.012403873914874913,0.0,0.0,-3.072846080850041,3.3615400038388784e-06,2.551671323944132e-06,-4.407566614502012e-06,0.0001731722635748964,368,0.02798337958790066,3324.277777777778,0.01102940484224794,6.959237900685405e-06,136800,2.191524105825752,0.0
20,0.0007663947716022547,-0.0007758406129722148,0.010826194204467659,0.0,0.0,-4.78135087538412,2.6619288332720993e-06,3.2349451498017546e-05,2.309826977427001e-05,-0.0007372261704652389,363,0.023155029821221928,3324.277777777778,0.007009488956186003,9.251181665998832e-06,144000,2.19511440833725,0.0
21,0.0006589208661665915,-0.00047569049471244323,0.009889215376368533,0.0,0.0,-4.675479294721569,2.36454789146249e-06,2.052721834948963e-05,1.5124899258280619e-05,-0.0004438985767006266,360,0.02274844896574949,3324.277777777778,0.0052666825402088255,5.402319133897963e-06,151200,2.196007729447077,0.0
