frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
264000,-0.0010251373628852888,206.82,0.8992701208591461,33,0.9678423443436622,1.3582241415977478,0.28484989953819473,2.06,719,0.008164651886909268,0.0,5.1000000000000085
272000,-0.000709090628370177,214.69,0.9405812335014343,34,0.7219361825287343,1.3500781917572022,0.1895667157783211,2.33,721,0.004063244300923543,0.0,7.1000000000000085
280000,-0.0019227181873793598,205.84,0.9708812952041626,35,0.5413947433233262,1.34415487408638,0.1558524225078339,2.04,722,0.002564022058068076,0.0,5.1000000000000085
288000,-0.0006606715184170753,184.93,0.9644684165716171,36,0.6732995423674584,1.3623785960674286,0.1887363589078419,1.42,724,0.004150396893383004,0.0,5.0
296000,-0.0021076762438178775,191.68,0.9496183395385742,37,0.6706213197112083,1.3338884043693542,0.196867680404468,1.58,726,0.004092864035192179,0.0,5.0
304000,-0.0012257941375719383,209.15,0.962021970152855,38,0.7255284069478511,1.3339475560188294,0.198147860362591,2.12,727,0.004262381125590764,0.0,6.0
312000,-0.0007986247364897281,218.17,0.9635526412725448,39,0.6467761509120464,1.3429309344291687,0.17178526514580006,2.37,728,0.003559909779869486,0.0,6.0
320000,-0.002072668541804887,211.95,0.9350501662492752,40,0.7114505079388619,1.3360065883398056,0.2051404429119664,2.28,728,0.00571493669252959,0.0,8.100000000000009
328000,0.0003761145110183861,226.85,0.9590198290348053,41,0.7418571242690086,1.3490023970603944,0.19967063153119757,2.57,728,0.004399259136116598,0.0,6.1000000000000085
336000,-0.0001816584732296178,220.5,0.9476302278041839,42,0.6396809981763363,1.369191553592682,0.15995124211345363,2.42,725,0.003728338174696546,0.0,6.1000000000000085
344000,0.0006446706532733515,202.27,0.8834501868486404,43,0.9292974051833153,1.372299610376358,0.22551195627066659,1.92,724,0.00722696133190766,0.0,5.0
352000,-0.001726189004839398,209.75,0.8654448062181472,44,1.2063736861944199,1.3653484511375427,0.3174395633083323,2.11,721,0.01114741453435272,0.0,5.0
360000,-0.0052644110642131635,213.72,0.8203930997848511,45,1.3106351071596145,1.344980982542038,0.4168606558406869,2.21,718,0.015920460919151082,0.0,5.0
368000,-0.00011826947797089815,214.66,0.9503333830833435,46,0.8120797401666642,1.3590548360347747,0.21696916504691774,2.27,715,0.005405274063523393,0.0,5.0
376000,0.0003800202248385176,211.45,0.8378472447395324,47,1.094682413339615,1.365266340970993,0.2746952742406194,2.18,711,0.009402668952243403,0.0,5.0
384000,-0.0005237683048471809,208.05,0.9325542783737183,48,0.9646954029798508,1.3669964003562927,0.26763060336509215,2.11,706,0.007340965635376051,0.0,5.0
392000,-0.0008455892422716716,213.67,0.8772120219469071,49,1.0541648331284523,1.3646791660785675,0.29679918419240825,2.23,702,0.009118720415863209,0.0,5.0
400000,-0.0024345504493248882,214.05,0.9440445011854172,50,0.7866317117214203,1.3577115964889526,0.23289666702628817,2.25,697,0.004858594514080323,0.0,5.1000000000000085
408000,-0.0011532608207198791,206.9,0.9327548629045487,51,0.9168081185221673,1.3514109134674073,0.2479552358615831,2.01,692,0.006621198602369986,0.0,5.0
416000,-0.0006948192433628719,228.16,0.9259014743566513,52,1.0283660659193992,1.3506141209602356,0.2805510817159761,2.68,688,0.007888202558970079,0.0,6.0
424000,-0.0033062819833867252,219.42,0.8715673488378525,53,1.1012504044175149,1.3590189957618712,0.3263900320682756,2.44,683,0.009477507551200687,0.0,5.1000000000000085
432000,-0.004274520613835193,214.21,0.9085720413923264,54,1.031343297958374,1.35429656624794,0.29598586541173316,2.32,679,0.00784761600603815,0.0,5.0
440000,-0.003977784691960551,216.84,0.8989541149139404,55,1.2552738922834397,1.3287781774997711,0.35563556907877664,2.54,676,0.011045202397508547,0.0,5.1000000000000085
448000,2.200103655923158e-05,230.56,0.7645934116840363,56,1.3476889312267304,1.3369749116897582,0.34328961499542904,2.87,672,0.013086056341417135,0.0,6.0
456000,-0.003646199825452641,232.0,0.9013301438093185,57,1.1505208617448808,1.3066811895370483,0.3021742614174908,2.82,668,0.009935142909525893,0.0,5.0
464000,-0.0019480302820375072,230.33,0.9106677234172821,58,1.028441369831562,1.3161170208454132,0.26979135817279876,2.85,663,0.007716222562594339,0.0,5.1000000000000085
472000,-0.0011948348744772375,232.37,0.9328239589929581,59,0.959186684191227,1.3210412752628327,0.2550359098962877,2.92,660,0.00700840765319299,0.0,6.200000000000017
480000,-0.0009906311500526498,228.99,0.9048829632997513,60,1.062942695915699,1.3488175129890443,0.2735959098976225,2.84,656,0.008361202686210163,0.0,8.100000000000009
488000,-0.0020440340967616067,225.92,0.8986732262372971,61,1.176833233833313,1.33145956158638,0.3231925011152817,2.7,652,0.010260870869969949,0.0,7.1000000000000085
496000,0.0003142613772070035,225.24,0.902215159535408,62,1.1226696509122849,1.3289879477024078,0.29228963321928203,2.62,649,0.009286656312760898,0.0,6.1000000000000085
504000,0.000303925019397866,234.24,0.9253478145599365,63,0.982998575270176,1.3314973545074462,0.2548062875224522,2.77,646,0.007139281771378592,0.0,6.0
512000,-0.0018919582800572244,247.77,0.9340805411338806,64,0.9473399466276169,1.341163659095764,0.2378481968390749,3.09,642,0.006663753564935177,0.0,6.0
520000,-0.001165978583157994,261.41,0.9342815577983856,65,0.9828405350446701,1.3259695374965668,0.2460352649215317,3.47,639,0.00728186662774533,0.0,7.0
528000,-0.0009525266819400712,267.0,0.8695499646663666,66,1.2555939310789108,1.328602225780487,0.3225875237164818,3.68,635,0.011597718735574745,0.0,8.100000000000009
536000,-0.001059316189493984,257.28,0.9216367918252945,67,1.0058954271674156,1.3257146668434143,0.2464398357105202,3.46,632,0.0073284445540048185,0.0,9.0
544000,-0.002147474252269603,254.95,0.9063156360387802,68,1.143870362341404,1.3268792486190797,0.2886877962211573,3.44,629,0.009051068444969133,0.0,9.0
552000,7.240261998958886e-05,253.49,0.9131221967935562,69,1.0200988814234733,1.3357092082500457,0.24660226914217503,3.28,627,0.007509440705180168,0.0,7.1000000000000085
560000,-0.0011109871449662024,257.14,0.8740639787912369,70,1.204743938446045,1.3188663268089293,0.2926556095951184,3.39,623,0.010164981056004763,0.0,7.0
568000,-0.0016763756351429037,246.96,0.8474437934160233,71,1.3628668969869613,1.3176337850093842,0.3663269617684215,3.19,620,0.013022235713433474,0.0,7.0
576000,-0.0014386919177195522,235.77,0.9314347118139267,72,0.9915368935465813,1.316820534467697,0.27037338933546595,2.97,617,0.0072280561353545636,0.0,6.1000000000000085
584000,-0.0014834514449466952,242.7,0.8531808829307557,73,1.2963191276788713,1.3139807283878326,0.3318739201373472,3.23,615,0.011908431800547988,0.0,9.0
592000,-0.000812076365982648,240.65,0.9026733577251435,74,0.989074034690857,1.3097893512248993,0.24826008696757282,3.13,612,0.007421852493425831,0.0,9.0
600000,-0.00012611580023076386,251.29,0.9234519028663635,75,0.9625120648741722,1.3327818429470062,0.2602338475586632,3.42,609,0.0072004118154291065,0.0,9.0
608000,-0.0018754657243698603,249.44,0.9279177808761596,76,1.0222065752744676,1.331588912010193,0.26711668520509696,3.36,607,0.007630498707294464,0.0,9.0
616000,-0.0008565833851753268,241.36,0.8966269594430923,77,1.1056864330172538,1.3299696171283721,0.2732903726005016,3.17,604,0.008822006327682175,0.0,9.0
624000,-0.0005378195230150596,236.4,0.919581554532051,78,1.0891471737623215,1.3258252871036529,0.2944687308170481,3.0,602,0.008219837327487767,0.0,9.0
632000,-0.0005079766039852985,239.96,0.921985828280449,79,1.056336060166359,1.3169993734359742,0.29694847604749025,3.21,601,0.007833679511677474,0.0,9.100000000000009
640000,-0.0025253882753895596,254.96,0.8957503694295883,80,1.1892178004980087,1.3257633554935455,0.3075750020176386,3.64,601,0.009772596553666517,0.0,10.0
648000,-0.001482773329480551,261.32,0.8966723954677582,81,1.245486741065979,1.3186810505390167,0.346582743600049,3.89,600,0.010513198329135776,0.0,10.0
656000,-0.0013643414317630232,266.93,0.8859227555990219,82,1.2599629008769988,1.3021289002895355,0.3298414573916982,4.06,599,0.010852267751470208,0.0,10.100000000000009
664000,-0.002867078681883868,261.53,0.8941846877336502,83,1.2054576867818831,1.3241013634204863,0.3355466184218455,3.96,598,0.010222665235633031,0.0,10.0
672000,-0.0010285921998138292,253.33,0.860532922744751,84,1.265954782962799,1.3237606024742126,0.3317223607908277,3.63,597,0.011293567039538176,0.0,9.0
680000,-0.0038351990594310335,261.24,0.8918260073661805,85,1.26366672873497,1.30766437292099,0.35685124703302834,3.84,596,0.011086932132020593,0.0,10.0
688000,-0.003904426122317091,262.69,0.8795273357629776,86,1.1929875576496125,1.3053723484277726,0.33588950498304804,3.76,596,0.010927310503320768,0.0,9.100000000000009
696000,-0.002314767538337037,282.19,0.8733354032039642,87,1.2710689783096314,1.312003072500229,0.3425107620788023,4.42,595,0.010829882014077157,0.0,10.0
704000,-0.007526580033591017,283.57,0.8011601823568344,88,1.6791600984334947,1.2593757975101472,0.5366369986649147,4.58,594,0.022021573865786195,0.9000000000000004,10.0
712000,-0.0053864875755971296,284.71,0.8373936408758164,89,1.5075615680217742,1.291271380186081,0.4254471685404382,4.65,594,0.015345084462314845,1.0,10.0
720000,-0.006660172862284526,296.4,0.8235441946983337,90,1.5943651282787323,1.2819576573371887,0.4539006138964022,4.91,593,0.016839299579150976,1.0,10.0
728000,-0.006070644776336849,297.54,0.8545504015684128,91,1.421302753686905,1.2720980036258698,0.3919778431568623,4.88,592,0.013652368034236133,1.9000000000000004,9.100000000000009
