frames,approx_kl_divergence,explained_variance,P09:episode_rewards,policy_loss,PMM:episode_rewards,value_loss,clip_fraction,epoch_idx,policy_entropy,fps,P01:episode_rewards,episode_length,advantage_norm,grad_norm
645120,0.0025186654762933357,1.7508864402770997e-08,335.00000000000085,-0.0011778074340327294,148.75,0.005282056455487805,0.22216796875,63,1.7675016961991787,534,0.0,325.19,15.968709111213684,0.04899252594344221
655360,0.0025716540852158687,-7.450580596923828e-09,427.5000000000002,-0.0016914745392568875,158.25,0.009364160300810909,0.1994873046875,64,1.77682074457407,532,25.0,325.83,15.968717730045318,0.05365826645894611
665600,0.0025360890929732706,1.4901161193847657e-09,275.0,-0.0013657956485985778,136.25,0.008142688514180919,0.21787109375,65,1.7791288442909718,525,22.500000000000007,326.45,15.968717616796493,0.05014095328821264
675840,0.00289484058648668,4.8428773880004884e-09,302.5000000000002,-0.0015443668173247716,153.5,0.008701151985860633,0.22216796875,66,1.7723187573254109,522,25.0,331.01,15.968717789649963,0.05233006984397217
686080,0.0028741520161077007,1.4901161193847657e-09,325.0,-0.0015213921291433508,152.75,0.007988742421366624,0.2484130859375,67,1.7712080284953118,520,22.500000000000007,329.84,15.968717950582505,0.05191548674740724
696320,0.0030056252437930197,-1.0058283805847169e-08,352.5000000000002,-0.001923959487612592,170.5,0.010936765059886966,0.258447265625,68,1.779207179695368,518,25.0,335.05,15.968717777729035,0.05778526718607069
706560,0.002785677251370089,8.195638656616212e-09,352.5000000000002,-0.001698540196957765,162.5,0.007621123153694498,0.242822265625,69,1.7759928733110428,517,25.0,333.03,15.968717700242996,0.0536934807955456
716800,0.002978136240767526,7.450580596923828e-09,305.00000000000045,-0.001325958126835758,157.25,0.007359204426370525,0.245361328125,70,1.7722921639680862,515,47.50000000000001,329.39,15.968717408180236,0.05105210231752329
727040,0.002687302678822334,8.195638656616212e-09,275.0,-0.0019594807927205693,139.75,0.00879837693414629,0.229931640625,71,1.7780614838004112,514,50.0,322.94,15.968717455863953,0.05324931155650795
737280,0.0029595072064466875,1.4901161193847656e-08,275.0,-0.002321879667942994,143.25,0.009374806972755324,0.2654541015625,72,1.7753365240991115,513,47.50000000000001,322.62,15.968717712163926,0.0520155484140412
747520,0.003037171952519202,-1.080334186553955e-08,307.5000000000006,-0.0014791149016673444,166.5,0.009475207907780715,0.2434814453125,73,1.759608369320631,512,25.0,329.46,15.968717944622039,0.05093100701816098
757760,0.0026203938615822152,-2.570450305938721e-08,375.0,-0.0016083971539046615,179.75,0.010423354979502619,0.231884765625,74,1.7726220421493053,510,50.0,335.7,15.968717700242996,0.05573086322519568
