epoch_idx,value_loss,P01:episode_rewards,advantage_norm,frames,episode_length,policy_loss,policy_entropy,fps,grad_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance
58,0.0023199027433656737,0.0,0.478839358240366,464000,186.18,2.8158845088910313e-05,1.3852732694149017,457,0.07134526210434547,4.0,1.42,-6.74785180747509
59,0.001984907022624611,0.0,0.43389915104955434,472000,195.98,0.00022207795933354646,1.3854146385192871,458,0.062713462420851,4.0,1.68,-5.285192590355873
60,0.0015645676878011728,0.0,0.357566462084651,480000,185.05,0.0002732417735865056,1.3855569064617157,458,0.057695912016838546,4.0,1.42,-3.8612596839666367
61,0.0017106320843231515,0.0,0.38358049869537353,488000,181.72,-0.00011144349387905095,1.385173020362854,459,0.05826830771093082,3.0,1.33,-10.247332641482354
62,0.0023264167296383675,0.0,0.4440272242575884,496000,188.23,0.0003562400418491052,1.384978654384613,459,0.06931961915440321,3.0,1.58,-2.0901719826459884
63,0.0016506672426294243,0.0,0.38240379240363837,504000,180.0,-0.00035202602583012777,1.384648460149765,460,0.06068451039161072,3.0,1.38,-13.190081398487091
64,0.00117395376550121,0.0,0.3127158220112324,512000,181.02,-0.00010596438984066481,1.3850664699077606,460,0.04543264035537888,3.0,1.38,-2.151031269431114
65,0.0015546088619612418,0.0,0.364585824534297,520000,189.68,-9.451592995901592e-05,1.3849136793613435,460,0.060127096657520245,4.0,1.56,-3.103921338915825
66,0.00179555967089982,0.0,0.39829889353364706,528000,184.07,7.813686090230477e-05,1.384960699081421,461,0.054063891093283266,4.0,1.47,-2.373936772942543
67,0.0014346330792886874,0.0,0.3561066683009267,536000,185.05,4.511221508437302e-05,1.385283648967743,461,0.052894825525991555,4.0,1.47,-2.557262353301048
68,0.0013461676246606658,0.0,0.3382577694579959,544000,188.4,9.829433671256993e-05,1.3856912791728973,461,0.05046594805797066,4.0,1.51,-5.061638521552086
69,0.0011767008027163683,0.0,0.330773553699255,552000,188.48,7.951120322104544e-05,1.3845884799957275,462,0.06247040875560533,4.0,1.53,-11.722715508937835
70,0.001487813427047513,0.0,0.36043115869164466,560000,181.05,-0.0001397160098713357,1.3837120306491852,462,0.05072036428277613,3.0,1.37,-3.0070022720098497
71,0.0011774191364202124,0.0,0.31978550475090745,568000,180.52,0.0002927259702119045,1.3853161787986756,463,0.04787263111870963,3.0,1.35,-10.813482471108436
72,0.0012843175952366437,0.0,0.3381621667742729,576000,183.48,-2.826222018484259e-05,1.384920176267624,463,0.05065294951556638,3.0,1.42,-2.2135005307197573
73,0.0009754845148609092,0.0,0.2658287714421749,584000,181.41,0.0001254583663558151,1.38548734664917,463,0.039874648981906756,4.0,1.37,-2.8563967818021774
74,0.0017872394588448514,0.0,0.39232714381068945,592000,183.44,-0.00013456958928145468,1.3848571956157685,464,0.059924798461940536,4.0,1.45,-7.121137000918388
75,0.0007617265923909144,0.0,0.2568384500592947,600000,185.98,-0.000252249082200251,1.3854492163658143,464,0.038907812836245344,4.0,1.5,-2.8084187656641006
76,0.0014878692110869452,0.0,0.35165289878845213,608000,184.89,0.00020875744557997679,1.3848321974277495,464,0.053836263251855476,3.0,1.44,-62.52412114500999
77,0.0013976401326090127,0.0,0.33303565565496684,616000,184.61,-0.00013394365036219823,1.3847245490550995,464,0.05072415247969906,3.0,1.49,-2.336605892777443
78,0.0009901250433449603,0.0,0.2884020432084799,624000,179.14,0.00013025026382820215,1.3844855320453644,465,0.04294412758455583,3.0,1.32,-1.392491307258606
79,0.0012526035757855424,0.0,0.346177897118032,632000,184.58,0.00013903318876600678,1.3854785072803497,465,0.053351895862060295,3.0,1.4,-1.2273968905210495
80,0.0011249639758079866,0.0,0.3024107576161623,640000,188.91,-2.102399339491967e-06,1.3856943154335022,465,0.04600693159046777,3.0,1.52,-4.0241114801168445
81,0.0007601364306447068,0.0,0.2641023674607277,648000,187.75,-1.8270180789841105e-05,1.385615384578705,466,0.04317284677017,4.0,1.51,-3.5011842262744906
82,0.0009380446463501357,0.0,0.2918646619655192,656000,182.32,-0.00020307222344854382,1.384659653902054,466,0.048608100114760605,3.0,1.37,-2.239703862071037
83,0.0010846144351853583,0.0,0.3003956223651767,664000,180.72,-2.4409700272371994e-05,1.383384553194046,466,0.04419702258962368,3.0,1.32,-1.4380164188146591
84,0.0013571039532325813,0.0,0.33198637861758473,672000,176.15,0.000314835498429602,1.3845001935958863,467,0.055335165842683845,3.0,1.25,-45.096753325462345
85,0.0007055290310472628,0.0,0.23726983338594437,680000,177.5,-1.7316659796051682e-05,1.3851365196704863,467,0.035174711002940284,3.0,1.28,-1.1992104816436768
86,0.0005950310015532523,0.0,0.19576910112053156,688000,180.78,-0.00017002864587993826,1.384723117351532,467,0.0331073381910283,3.0,1.32,-1.1559439903497697
87,0.0009111641987874464,0.0,0.24526043992489577,696000,174.56,7.233535286104597e-05,1.384821767807007,467,0.04005990333134281,3.0,1.15,-2.770495219826698
88,0.001581457686588692,0.0,0.359897975102067,704000,196.25,-0.00015366496169008314,1.3837173557281495,467,0.0601361323662664,4.0,1.71,-1.302643176317215
89,0.0007156482837763178,0.0,0.23701362054795028,712000,195.1,-0.00020154576714958238,1.3848479402065277,468,0.033827759440082275,4.0,1.77,-3.03324192404747
