fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
482,190.07,0.0015945735850255004,60,0.06615168017970738,0.0001637220030897879,480000,0.3853816547989845,1.59,0.0,3.1000000000000085,1.3851751685142517,-1.8453184390068054
482,178.78,0.0016888694342833332,61,0.0644772455648173,-0.0001186743967991788,488000,0.37394744507968425,1.34,0.0,3.0,1.3851398050785064,-1.5598738318681717
482,180.95,0.0017175251097978617,62,0.06667283476934245,0.0005842579726595431,496000,0.395742106847465,1.38,0.0,3.0,1.3843935060501098,-2.8761712956428527
483,176.98,0.0017953128675981134,63,0.06365923814788214,-0.00026632668119418667,504000,0.394181725718081,1.26,0.0,3.0,1.382710964679718,-32.19525403261185
484,172.16,0.001340892554671882,64,0.060222908571004784,0.0001596493208035099,512000,0.3635639651492238,1.13,0.0,3.0,1.38195467710495,-2.0494382482767106
484,179.8,0.0037081209471125478,65,0.18114634414296063,0.006750255671940977,520000,0.5139508819207549,1.31,0.0,3.0,1.3823664891719818,-1.6612982642650604
485,186.98,0.0014682645034827147,66,0.055608927249579436,0.00011936967634028406,528000,0.351626066416502,1.5,0.0,3.0,1.3839212048053742,-9.087999032735825
485,180.48,0.0014085466074902798,67,0.0517560112576907,-6.865518516860903e-06,536000,0.3499470430985093,1.31,0.0,3.0,1.3859070217609406,-5.279676049351692
486,170.22,0.0009261687998332491,68,0.04829808780573539,0.00019679997918501613,544000,0.2857692574337125,1.04,0.0,3.0,1.3855215477943421,-4.96174966275692
486,173.34,0.001605430259496643,69,0.058099637053330745,-0.0001216725630365545,552000,0.3568542433157563,1.13,0.0,3.0,1.3838077795505523,-4.8983728605508805
486,179.12,0.0017649105277996568,70,0.061624356709201765,8.862660966769909e-05,560000,0.37502567760646344,1.26,0.0,3.0,1.3851801788806914,-10.819569340348243
487,187.07,0.001948795240077743,71,0.06795364050494285,-0.00047637811105232685,568000,0.408093979768455,1.5,0.0,4.0,1.383944059610367,-2.359634006619453
487,189.88,0.00188750818418157,72,0.06397964831123973,-0.0002710628906061174,576000,0.4080637779086828,1.62,0.0,4.1000000000000085,1.3854309833049774,-2.32173366189003
487,182.28,0.0016053456455665583,73,0.058504064083617344,0.0005564885589410551,584000,0.3719873011857271,1.4,0.0,4.0,1.384756554365158,-8.047635927796364
487,175.13,0.0008512378225168504,74,0.04293521874016652,-0.00021483670443558366,592000,0.25790154343470933,1.18,0.0,3.0,1.384963754415512,-3.9917998665571215
488,172.49,0.0010489822686849948,75,0.05004954287280636,-0.0003282378962467192,600000,0.29288322776556014,1.12,0.0,3.0,1.3853652262687683,-1.6680078744888305
488,169.15,0.0009758494774087012,76,0.040990794401563786,2.7404404245316983e-05,608000,0.2660669957473874,1.13,0.0,3.0,1.3850879979133606,-2.068585279583931
489,173.06,0.0011343605909860345,77,0.05043874495369496,-1.834098482504487e-05,616000,0.32132431473582984,1.22,0.0,3.0,1.3850031518936157,-0.8617498356103898
489,178.02,0.001253235058102291,78,0.04677476072438511,-8.496861126332078e-05,624000,0.30555374510586264,1.28,0.0,3.0,1.3839279639720916,-1.018429509997368
490,190.68,0.0014947935713098559,79,0.06192716601937247,0.00013680125551672972,632000,0.34897709973156454,1.61,0.0,3.1000000000000085,1.3845342242717742,-1.1859191876649857
490,183.06,0.0007413458510745841,80,0.036026682039230734,0.00024159017848432996,640000,0.23721806291490793,1.39,0.0,3.0,1.3852028834819794,-2.6433844447135924
490,182.02,0.0015555957840660995,81,0.05781546326403555,-0.0002119386007780122,648000,0.3567535865679383,1.41,0.0,4.0,1.3840322732925414,-2.2449048697948455
490,178.85,0.001434613545488901,82,0.054051280764558556,-0.00030980277835624293,656000,0.34539690747857094,1.34,0.0,4.0,1.38280579328537,-1.917977225780487
491,178.51,0.0007787292120337952,83,0.03864796413631283,0.00012099243125703652,664000,0.2737313513830304,1.28,0.0,3.1000000000000085,1.3829162263870238,-0.8060665667057038
491,177.31,0.001041157720328556,84,0.055450905270695135,-2.613536072203715e-05,672000,0.30266828201711177,1.26,0.0,3.0,1.3842419731616973,-2.3084241592884065
491,169.47,0.0008139503678648907,85,0.041058634744125515,-0.00011344239646859933,680000,0.26111203636974095,1.07,0.0,3.0,1.3854168009757997,-1.1173864740133286
492,173.21,0.0014367493731515424,86,0.05393196425634981,-0.00017860491134342739,688000,0.33982978511601686,1.17,0.0,3.0,1.383110946416855,-3.384452899098396
