epoch_idx,episode_length,grad_norm,avg_q_selected,fps,P01:episode_rewards,policy_entropy,P09:episode_rewards,avg_q_retraced,policy_gradient_loss,rollout_prob_std,explained_variance,model_prob_std,q_loss,policy_loss,advantage_norm,frames,PMM:episode_rewards,policy_gradient_bias_correction
41,3324.2619047619046,0.00022797190266607024,-0.0006613236054254818,404,0.0,2.1900528156032006,0.0,-0.000655211213864517,1.453192171908595e-05,0.01893739594678794,-4.000654474734945,0.013150258988361295,3.906967143342447e-07,1.4692730521885636e-05,0.005187769655899574,295200,0.0,1.6080882475592637e-07
42,3324.2619047619046,0.00015158327183768206,7.0343695543193655e-06,402,0.0,2.1917273448100167,0.0,6.31999457226133e-06,8.391346302768659e-08,0.01875382998899099,-4.460804792957173,0.011713933440716197,2.6890582069544107e-07,-3.2055255889955624e-08,0.003976599465818182,302400,0.0,-1.15968739315012e-07
43,3324.2619047619046,0.00017035084397493976,-2.246398141760582e-05,401,0.0,2.1916404850236955,0.0,-1.618415390169048e-05,2.314226460339702e-06,0.019185993221277994,-3.0426004517243967,0.01180820034805774,2.7753765905409487e-07,2.1439046158892747e-06,0.004463829378563253,309600,0.0,-1.70321818226607e-07
44,3324.2619047619046,0.00017272945265861374,3.05528252075087e-05,399,0.0,2.191730417618676,0.0,2.5787007691347615e-05,-6.924906360322463e-07,0.01705826524228705,-3.0526190198855425,0.011730440724222236,2.939344296462807e-07,-7.409568453187014e-07,0.004585954805823147,316800,0.0,-4.846614856052171e-08
45,3324.3854166666665,0.0001759565834795019,-5.261594781131861e-05,397,0.0,2.1917075414916196,0.0,-5.7500037871644834e-05,1.6001779546662666e-06,0.017142882077577744,-6.582080358407168,0.011757148653626067,3.1914329526422925e-07,1.7907413262361973e-06,0.004572337346587682,324000,0.0,1.9056337425251126e-07
46,3324.3854166666665,0.00018319609999587454,-0.0003566066301626234,396,0.0,2.1910594980331957,0.0,-0.0003582450371311612,3.612565721488136e-06,0.01692824440357822,-6.198090537006736,0.012300872793076217,2.730488898372398e-07,3.1857735811393215e-06,0.004284569473693313,331200,0.0,-4.267921123217686e-07
47,3324.3854166666665,0.0001671434636977706,-0.00031877963200092804,394,0.0,2.190923711808901,0.0,-0.00031050649187075154,9.995545880645833e-06,0.01586550116062253,-5.447028235778922,0.012428192390675937,2.597092783041694e-07,9.247962343410099e-06,0.004191682149760867,338400,0.0,-7.475834777517478e-07
48,3324.3854166666665,0.00015797150603466954,-4.378778532345534e-05,393,0.0,2.191616117613656,0.0,-4.215550492900216e-05,7.408392203157244e-07,0.017227826251934166,-4.676806528486272,0.011847381565089106,2.5358606977353464e-07,3.2298924942420684e-07,0.00437485954420279,345600,0.0,-4.1784994868945334e-07
49,3324.3854166666665,0.0001404172131030135,-1.134749752348172e-05,392,0.0,2.191567754868477,0.0,-8.121839407053019e-06,5.608770152787261e-07,0.017323863134909145,-2.6161743180311863,0.011904422842020356,1.9156985586953215e-07,5.899708938833015e-07,0.003637504361545012,352800,0.0,2.909392319235388e-08
50,3324.47,0.00015563914176752085,3.4497241853646944e-05,391,0.0,2.19155777066473,0.0,3.316333636662638e-05,-1.0223787685220258e-06,0.01810334975539248,-3.368989123676031,0.011927873498560594,2.7967514418605146e-07,-1.1221913573576462e-06,0.0043297476905106115,360000,0.0,-9.981260181077923e-08
51,3324.47,0.00013000765718892079,-3.268521974965918e-06,390,0.0,2.1915007878106736,0.0,-4.265984074201752e-06,-1.1906826321209676e-07,0.01533966034723485,-12.367443629476442,0.01197443211166602,1.673098377449595e-07,-1.356684330171107e-07,0.003248987172946582,367200,0.0,-1.6600169228214976e-08
52,3324.47,0.00017800062596860095,-0.000591137979064216,390,0.0,2.189525408568206,0.0,-0.0005834719002568482,1.4939578092985728e-05,0.01647192877717316,-6.393915897751295,0.013612867897479897,2.5868101801127075e-07,1.4576000034817634e-05,0.0040730275266913744,374400,0.0,-3.635780867167821e-07
53,3324.47,0.00012621884365930506,4.5530840323134196e-05,389,0.0,2.1916201422958776,0.0,4.7140917207889784e-05,-9.361510696959295e-07,0.016617677438063003,-10.601305933432288,0.011840490992181003,1.859065984358188e-07,-9.765573967133459e-07,0.003271392609971584,381600,0.0,-4.040633878845924e-08
