fps,frames,value_loss,PMM:episode_rewards,epoch_idx,explained_variance,policy_entropy,grad_norm,policy_loss,P09:episode_rewards,episode_length,advantage_norm,P01:episode_rewards
490,184000,0.003363323937228415,2.8,23,0.9721297192573547,1.347700800895691,0.15730763329123382,-0.0003479513665661216,9.0,228.67,0.664476874768734,0.0
492,192000,0.004656792363966815,2.56,24,0.9584819889068603,1.3414840698242188,0.18531608702626212,-0.0009575162484543398,6.200000000000017,224.41,0.759304072856903,0.0
494,200000,0.007555590397678316,2.35,25,0.9235044610500336,1.3593256866931915,0.21225830976640325,-0.0004317777296455461,6.1000000000000085,218.38,0.937400974035263,0.0
497,208000,0.004530441018287093,2.32,26,0.9626503133773804,1.3439462780952454,0.18000551432952816,-0.0006984299595933407,8.0,214.33,0.7371574154496193,0.0
498,216000,0.004254962370614521,1.83,27,0.9526520282030105,1.3381533408164978,0.15132027522303257,-0.0007370458896002674,6.1000000000000085,195.37,0.7009713771939278,0.0
500,224000,0.014788137394352816,1.93,28,0.918096752166748,1.330068598985672,0.38960071805194507,-0.006759295564261265,6.0,199.48,1.0005700466036798,0.0
505,232000,0.003795759015483782,2.47,29,0.9546492677927018,1.3457915413379669,0.14420821227880304,-0.00013581202481873332,9.0,218.93,0.6711156237125396,0.0
512,240000,0.010258083201479166,2.19,30,0.8479583221673965,1.376798037290573,0.2685199959410974,0.0013767988342442549,7.0,209.37,1.1402119332551957,0.0
517,248000,0.006391550508560613,1.84,31,0.9269332259893417,1.3508777523040771,0.21529879533885776,-0.002195974003407173,5.0,197.99,0.9091905349493027,0.0
521,256000,0.004101851395389531,1.72,32,0.9659704506397248,1.3415652179718018,0.17844303870315847,-0.0005164054401393515,4.0,192.54,0.7086803287267684,0.0
524,264000,0.006799713087966666,1.98,33,0.9231941604614258,1.3447325038909912,0.19287379497838722,-0.000509641126045608,5.0,198.56,0.8863413661718369,0.0
526,272000,0.006657928432687186,2.1,34,0.9245605570077896,1.3519263505935668,0.22139146437964652,-0.0007828219144721516,6.0,207.2,0.9296954402327537,0.0
527,280000,0.005047853605647106,2.11,35,0.9403137278556823,1.3651356160640717,0.18208353392103277,-0.0014887974585872142,6.1000000000000085,204.44,0.7899572111666202,0.0
529,288000,0.0034066759195411577,2.06,36,0.9703534996509552,1.3407191169261932,0.13873685473463374,-0.00044129829591838644,6.300000000000026,201.25,0.6265952967107296,0.0
531,296000,0.003512690302741248,2.18,37,0.9701396924257278,1.3465628719329834,0.14796510162447107,-0.0014090949803357944,6.300000000000026,206.79,0.6584693406522274,0.0
532,304000,0.005755826327076647,2.61,38,0.9461361962556839,1.3518791580200196,0.19034225712143138,0.00022531066293595358,9.0,223.9,0.8243386901915073,0.0
533,312000,0.006845325408503414,2.65,39,0.9395770984888077,1.364278301000595,0.21647794663901507,-0.0017420704234973527,6.200000000000017,227.67,0.9335228896141052,0.0
